id	name	mob_1	mob_2	mob_3	mob_4	kill_count	reward_1	count_1	reward_2	count_2	reward_3	count_3	reward_4	count_4	zone	min_level	max_level
69	Haunga Hunt	1353	0	0	0	500	900001000	1000000	379021000	1	379107000	1	0	1	1	50	83
70	Haunga Warrior Hunt	1362	0	0	0	500	900001000	1000000	379021000	1	379107000	1	0	1	1	50	83
71	Uruk Hai Hunt	1692	0	0	0	500	900001000	1000000	379021000	1	379107000	1	0	1	1	50	83
72	Uruk Blade Hunt	1693	0	0	0	500	900001000	1000000	379021000	1	379107000	1	0	1	1	50	83
73	Uruk Tron Hunt	1694	0	0	0	500	900001000	1000000	379021000	1	379107000	1	0	1	1	50	83
74	Kobold Hunt	2951	0	0	0	500	900001000	1000000	379021000	1	379107000	1	0	1	1	50	83
75	Bugbear Hunt	2952	0	0	0	500	900001000	1000000	379021000	1	379107000	1	0	1	1	50	83
76	Pooka Hunt	2953	0	0	0	500	900001000	1000000	379021000	1	379107000	1	0	1	1	50	83
77	Goblin Bouncer Hunt	2954	0	0	0	500	900001000	1000000	379021000	1	379107000	1	0	1	1	50	83
78	Lamia Hunt	2051	0	0	0	500	900001000	1000000	379021000	1	379107000	1	0	1	1	50	83
79	Lamiros Hunt	2052	0	0	0	500	900001000	1000000	379021000	1	379107000	1	0	1	1	50	83
80	Ape Hunt	4251	0	0	0	500	900001000	1000000	379021000	1	379107000	1	0	1	1	50	83
81	Tyon Hunt	4351	0	0	0	500	900001000	2000000	379021000	1	379107000	1	0	1	1	50	83
82	Gray Oozy Hunt	4651	0	0	0	500	900001000	1000000	379021000	1	379107000	1	0	1	1	50	83
83	Lich Hunt	4551	0	0	0	500	900001000	2000000	379021000	1	379107000	1	0	1	1	50	83
84	Grell Hunt	4751	0	0	0	500	900001000	1000000	379021000	1	379107000	1	0	1	1	50	83
85	Ancient Hunt	5351	0	0	0	500	900001000	1000000	379021000	1	379107000	1	0	1	1	50	83
86	Treant Hunt	5451	0	0	0	500	900001000	1000000	379021000	1	379107000	1	0	1	1	50	83
87	Deruvish Hunt	2151	0	0	0	500	900001000	3000000	379021000	1	379107000	1	0	1	1	50	83
88	Apostle Hunt	2152	0	0	0	500	900001000	3500000	379021000	1	379107000	1	0	1	1	50	83
89	Harpy Hunt	2251	0	0	0	500	900001000	3000000	379021000	1	379107000	1	0	1	1	50	83
90	Raven Harpy Hunt	2252	0	0	0	500	900001000	3500000	379021000	1	379107000	1	0	1	1	50	83
91	Stone Golem Hunt	2451	0	0	0	500	900001000	4000000	379021000	1	379107000	1	0	1	1	50	83
92	Giant Golem Hunt	2452	0	0	0	500	900001000	5000000	379021000	1	379107000	1	0	1	1	50	83
93	Troll Hunt	1771	0	0	0	500	900001000	4000000	379021000	1	379107000	1	0	1	1	50	83
94	Troll Warrior Hunt	1772	0	0	0	500	900001000	5000000	379021000	1	379107000	1	0	1	1	50	83
95	Lycan Hunt	501	0	0	0	500	900001000	100000	379021000	1	379107000	1	0	1	2	20	49
96	Loup-Garou Hunt	502	0	0	0	500	900001000	110000	379021000	1	379107000	1	0	1	2	20	49
97	Dark Eyes Hunt	504	0	0	0	500	900001000	120000	379021000	1	379107000	1	0	1	2	20	49
98	Dire Wolf Hunt	505	0	0	0	500	900001000	130000	379021000	1	379107000	1	0	1	2	20	49
99	Scorpion Hunt	900	0	0	0	500	900001000	100000	379021000	1	379107000	1	0	1	2	20	49
100	Pincer Scorpion Hunt	903	0	0	0	500	900001000	120000	379021000	1	379107000	1	0	1	2	20	49
101	Decayed Zombie Hunt	1001	0	0	0	500	900001000	130000	379021000	1	379107000	1	0	1	2	20	49
102	Undying Hunt	1004	0	0	0	500	900001000	150000	379021000	1	379107000	1	0	1	2	20	49
103	Skeleton Hunt	1100	0	0	0	500	900001000	120000	379021000	1	379107000	1	0	1	2	20	49
104	Smilodon Hunt	600	0	0	0	500	900001000	120000	379021000	1	379107000	1	0	1	2	30	49
105	Sabertooth Hunt	603	0	0	0	500	900001000	130000	379021000	1	379107000	1	0	1	2	30	49
106	Machirodus Hunt	604	0	0	0	500	900001000	150000	379021000	1	379107000	1	0	1	2	30	49
107	Megantereon Hunt	605	0	0	0	500	900001000	200000	379021000	1	379107000	1	0	1	2	30	49
108	Skeleton Knight Hunt	1102	0	0	0	500	900001000	220000	379021000	1	379107000	1	0	1	2	30	49
109	Skeleton Champion Hunt	1103	0	0	0	500	900001000	250000	379021000	1	379107000	1	0	1	2	30	49
110	Death Knight Hunt	1104	0	0	0	500	900001000	300000	379021000	1	379107000	1	0	1	2	30	49
111	Baron Hunt	1203	0	0	0	500	900001000	220000	379021000	1	379107000	1	0	1	2	30	49
112	Cardinal Hunt	1204	0	0	0	500	900001000	250000	379021000	1	379107000	1	0	1	2	30	49
113	Scolar Hunt	1200	0	0	0	500	900001000	200000	379021000	1	379107000	1	0	1	2	30	49
114	Garuna Hunt	1302	0	0	0	500	900001000	300000	379021000	1	379107000	1	0	1	2	30	49
115	Haunga Hunt	1303	0	0	0	500	900001000	250000	379021000	1	379107000	1	0	1	2	30	49
116	Haunga Warrior Hunt	1312	0	0	0	500	900001000	300000	379021000	1	379107000	1	0	1	2	30	49
117	Uruk Hai Hunt	1692	0	0	0	500	900001000	220000	379021000	1	379107000	1	0	1	2	40	49
118	Uruk Blade Hunt	1693	0	0	0	500	900001000	250000	379021000	1	379107000	1	0	1	2	40	49
119	Uruk Tron Hunt	1694	0	0	0	500	900001000	300000	379021000	1	379107000	1	0	1	2	40	49
120	Kobold Hunt	2901	0	0	0	500	900001000	150000	379021000	1	379107000	1	0	1	2	40	49
121	Bugbear Hunt	2902	0	0	0	500	900001000	170000	379021000	1	379107000	1	0	1	2	40	49
122	Pooka Hunt	2903	0	0	0	500	900001000	200000	379021000	1	379107000	1	0	1	2	40	49
123	Goblin Bouncer Hunt	2904	0	0	0	500	900001000	250000	379021000	1	379107000	1	0	1	2	40	49
124	Lamia Hunt	2001	0	0	0	500	900001000	300000	379021000	1	379107000	1	0	1	2	40	49
125	Lamiros Hunt	2002	0	0	0	500	900001000	330000	379021000	1	379107000	1	0	1	2	40	49
126	Ape Hunt	4201	0	0	0	500	900001000	200000	379021000	1	379107000	1	0	1	2	40	49
127	Tyon Hunt	4301	0	0	0	500	900001000	250000	379021000	1	379107000	1	0	1	2	40	49
128	Gray Oozy Hunt	4601	0	0	0	500	900001000	180000	379021000	1	379107000	1	0	1	2	40	49
129	Lich Hunt	4501	0	0	0	500	900001000	400000	379021000	1	379107000	1	0	1	2	40	49
130	Grell Hunt	4701	0	0	0	500	900001000	300000	379021000	1	379107000	1	0	1	2	40	49
131	Ancient Hunt	5301	0	0	0	500	900001000	250000	379021000	1	379107000	1	0	1	2	40	49
132	Treant Hunt	5401	0	0	0	500	900001000	250000	379021000	1	379107000	1	0	1	2	40	49
133	Lycan Hunt	501	0	0	0	500	900001000	500000	379021000	1	379107000	1	0	1	2	50	83
134	Loup-Garou Hunt	502	0	0	0	500	900001000	500000	379021000	1	379107000	1	0	1	2	50	83
135	Dark Eyes Hunt	504	0	0	0	500	900001000	500000	379021000	1	379107000	1	0	1	2	50	83
136	Dire Wolf Hunt	505	0	0	0	500	900001000	500000	379021000	1	379107000	1	0	1	2	50	83
137	Scorpion Hunt	900	0	0	0	500	900001000	500000	379021000	1	379107000	1	0	1	2	50	83
138	Pincer Scorpion Hunt	903	0	0	0	500	900001000	500000	379021000	1	379107000	1	0	1	2	50	83
139	Decayed Zombie Hunt	1001	0	0	0	500	900001000	500000	379021000	1	379107000	1	0	1	2	50	83
140	Undying Hunt	1004	0	0	0	500	900001000	500000	379021000	1	379107000	1	0	1	2	50	83
141	Skeleton Hunt	1100	0	0	0	500	900001000	500000	379021000	1	379107000	1	0	1	2	50	83
142	Smilodon Hunt	600	0	0	0	500	900001000	1000000	379021000	1	379107000	1	0	1	2	50	83
143	Sabertooth Hunt	603	0	0	0	500	900001000	1000000	379021000	1	379107000	1	0	1	2	50	83
144	Machirodus Hunt	604	0	0	0	500	900001000	1000000	379021000	1	379107000	1	0	1	2	50	83
145	Megantereon Hunt	605	0	0	0	500	900001000	1000000	379021000	1	379107000	1	0	1	2	50	83
146	Skeleton Knight Hunt	1102	0	0	0	500	900001000	1000000	379021000	1	379107000	1	0	1	2	50	83
147	Skeleton Champion Hunt	1103	0	0	0	500	900001000	1000000	379021000	1	379107000	1	0	1	2	50	83
148	Death Knight Hunt	1104	0	0	0	500	900001000	1000000	379021000	1	379107000	1	0	1	2	50	83
149	Baron Hunt	1203	0	0	0	500	900001000	1000000	379021000	1	379107000	1	0	1	2	50	83
150	Cardinal Hunt	1204	0	0	0	500	900001000	1000000	379021000	1	379107000	1	0	1	2	50	83
151	Scolar Hunt	1200	0	0	0	500	900001000	1000000	379021000	1	379107000	1	0	1	2	50	83
152	Garuna Hunt	1302	0	0	0	500	900001000	1000000	379021000	1	379107000	1	0	1	2	50	83
153	Haunga Hunt	1303	0	0	0	500	900001000	1000000	379021000	1	379107000	1	0	1	2	50	83
154	Haunga Warrior Hunt	1312	0	0	0	500	900001000	1000000	379021000	1	379107000	1	0	1	2	50	83
155	Uruk Hai Hunt	1692	0	0	0	500	900001000	1000000	379021000	1	379107000	1	0	1	2	50	83
156	Uruk Blade Hunt	1693	0	0	0	500	900001000	1000000	379021000	1	379107000	1	0	1	2	50	83
157	Uruk Tron Hunt	1694	0	0	0	500	900001000	1000000	379021000	1	379107000	1	0	1	2	50	83
158	Kobold Hunt	2901	0	0	0	500	900001000	1000000	379021000	1	379107000	1	0	1	2	50	83
159	Bugbear Hunt	2902	0	0	0	500	900001000	1000000	379021000	1	379107000	1	0	1	2	50	83
160	Pooka Hunt	2903	0	0	0	500	900001000	1000000	379021000	1	379107000	1	0	1	2	50	83
161	Goblin Bouncer Hunt	2904	0	0	0	500	900001000	1000000	379021000	1	379107000	1	0	1	2	50	83
162	Lamia Hunt	2001	0	0	0	500	900001000	1000000	379021000	1	379107000	1	0	1	2	50	83
163	Lamiros Hunt	2002	0	0	0	500	900001000	1000000	379021000	1	379107000	1	0	1	2	50	83
164	Ape Hunt	4201	0	0	0	500	900001000	1000000	379021000	1	379107000	1	0	1	2	50	83
165	Tyon Hunt	4301	0	0	0	500	900001000	2000000	379021000	1	379107000	1	0	1	2	50	83
166	Gray Oozy Hunt	4601	0	0	0	500	900001000	1000000	379021000	1	379107000	1	0	1	2	50	83
167	Lich Hunt	4501	0	0	0	500	900001000	2000000	379021000	1	379107000	1	0	1	2	50	83
168	Grell Hunt	4701	0	0	0	500	900001000	1000000	379021000	1	379107000	1	0	1	2	50	83
169	Ancient Hunt	5301	0	0	0	500	900001000	1000000	379021000	1	379107000	1	0	1	2	50	83
170	Treant Hunt	5401	0	0	0	500	900001000	1000000	379021000	1	379107000	1	0	1	2	50	83
171	Deruvish Hunt	2101	0	0	0	500	900001000	3000000	379021000	1	379107000	1	0	1	2	50	83
172	Apostle Hunt	2102	0	0	0	500	900001000	3500000	379021000	1	379107000	1	0	1	2	50	83
173	Harpy Hunt	2201	0	0	0	500	900001000	3000000	379021000	1	379107000	1	0	1	2	50	83
174	Raven Harpy Hunt	2202	0	0	0	500	900001000	3500000	379021000	1	379107000	1	0	1	2	50	83
175	Stone Golem Hunt	2401	0	0	0	500	900001000	4000000	379021000	1	379107000	1	0	1	2	50	83
176	Giant Golem Hunt	2402	0	0	0	500	900001000	5000000	379021000	1	379107000	1	0	1	2	50	83
177	Troll Hunt	1721	0	0	0	500	900001000	4000000	379021000	1	379107000	1	0	1	2	50	83
178	Troll Warrior Hunt	1722	0	0	0	500	900001000	5000000	379021000	1	379107000	1	0	1	2	50	83
179	Deruvish Hunt	2151	0	0	0	500	900001000	3500000	379021000	1	379067000	1	0	1	11	60	83
180	Apostle Hunt	2152	0	0	0	500	900001000	4000000	379021000	1	379067000	1	0	1	11	60	83
181	Harpy Hunt	2251	0	0	0	500	900001000	3500000	379021000	1	379067000	1	0	1	11	60	83
182	Raven Harpy Hunt	2252	0	0	0	500	900001000	4000000	379021000	1	379067000	1	0	1	11	60	83
183	Stone Golem Hunt	2451	0	0	0	500	900001000	3500000	379021000	1	379067000	1	0	1	11	60	83
184	Giant Golem Hunt	2452	0	0	0	500	900001000	4000000	379021000	1	379067000	1	0	1	11	60	83
185	Troll Hunt	1721	0	0	0	500	900001000	3000000	379021000	1	379067000	1	0	1	11	60	83
186	Troll Warrior Hunt	1722	0	0	0	500	900001000	4000000	379021000	1	379067000	1	0	1	11	60	83
187	Troll Berserker Hunt	1723	0	0	0	500	900001000	4500000	379021000	1	379067000	1	0	1	11	60	83
188	Troll Captain Hunt	1724	0	0	0	500	900001000	5500000	379021000	1	379067000	1	0	1	11	60	83
189	Uruk Hai Hunt	1692	0	0	0	500	900001000	800000	379021000	1	379067000	1	0	1	11	60	83
190	Uruk Blade Hunt	1693	0	0	0	500	900001000	1000000	379021000	1	379067000	1	0	1	11	60	83
191	Uruk Tron Hunt	1694	0	0	0	500	900001000	1100000	379021000	1	379067000	1	0	1	11	60	83
192	Deruvish Hunt	2121	0	0	0	500	900001000	6500000	379021000	1	379067000	1	0	1	71	50	83
193	Apostle Hunt	2122	0	0	0	500	900001000	8000000	379021000	1	379067000	1	0	1	71	50	83
194	Harpy Hunt	2221	0	0	0	500	900001000	6000000	379021000	1	379067000	1	0	1	71	50	83
195	Raven Harpy Hunt	2222	0	0	0	500	900001000	8000000	379021000	1	379067000	1	0	1	71	50	83
196	Stone Golem Hunt	2421	0	0	0	500	900001000	7500000	379021000	1	379067000	1	0	1	71	50	83
197	Giant Golem Hunt	2422	0	0	0	500	900001000	8500000	379021000	1	379067000	1	0	1	71	50	83
198	Troll Hunt	1741	0	0	0	500	900001000	8000000	379021000	1	379067000	1	0	1	71	50	83
199	Troll Warrior Hunt	1742	0	0	0	500	900001000	9500000	379021000	1	379067000	1	0	1	71	50	83
200	Death Knight Hunt	1111	0	0	0	500	900001000	9500000	379021000	1	379067000	1	0	1	71	65	83
